bool Boolean
cells TSciCell
colour TColor
findtext PSciTextToFind
formatrange PSciRangeToFormat
int Integer
keymod TKeyMod
position TPosition
string PAnsiChar
stringresult PAnsiChar
textrange PSciCharacterRange

